NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:03:34	608273.39028640
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	948.595	483.829	898.752	1136.200	631.622	539.293	0.000	0.000	0.000	1088.197	663.905	14.073	987.118	276.318	644.012	782.101	215.378	478.953	969.942	463.459	502.508
2	0.00333	948.619	483.734	898.797	1136.129	631.620	539.262	0.000	0.000	0.000	1088.266	663.781	14.004	987.433	276.350	644.318	782.222	215.278	478.916	969.704	463.843	502.790
3	0.00667	948.619	483.665	898.807	1136.074	631.650	539.279	0.000	0.000	0.000	1088.324	663.745	14.013	987.501	276.300	644.291	782.344	215.232	478.876	969.690	463.843	502.790
4	0.01000	948.620	483.587	898.837	1136.020	631.700	539.312	0.000	0.000	0.000	1088.359	663.690	14.042	987.592	276.276	644.257	782.505	215.153	478.896	969.674	463.841	502.802
5	0.01333	948.615	483.510	898.852	1135.955	631.726	539.328	0.000	0.000	0.000	1088.404	663.645	14.045	987.707	276.240	644.273	782.690	215.054	478.917	969.681	463.838	502.808
6	0.01667	948.616	483.448	898.863	1135.898	631.770	539.335	0.000	0.000	0.000	1088.442	663.607	14.076	987.834	276.184	644.263	782.842	214.947	478.873	969.638	463.809	502.870
7	0.02000	948.593	483.349	898.871	1135.827	631.806	539.348	0.000	0.000	0.000	1088.468	663.603	14.124	987.948	276.127	644.251	783.000	214.793	478.816	969.651	463.799	502.888
8	0.02333	948.116	483.443	898.449	1135.239	631.693	538.914	0.000	0.000	0.000	1087.731	662.221	12.962	987.838	276.236	644.009	782.525	215.249	478.246	968.570	464.291	502.652
9	0.02667	948.416	483.278	898.744	1135.188	631.482	538.585	0.000	0.000	0.000	1087.915	662.518	13.230	987.934	275.974	644.020	782.764	215.142	478.352	968.230	464.466	502.423
10	0.03000	948.401	483.227	898.744	1135.095	631.542	538.594	0.000	0.000	0.000	1087.951	662.537	13.293	988.059	275.916	643.979	782.953	214.991	478.327	968.208	464.461	502.445
11	0.03333	948.384	483.167	898.753	1135.342	631.964	539.516	0.000	0.000	0.000	1088.016	662.547	13.312	988.356	275.917	644.012	783.541	214.442	478.695	969.131	463.892	503.188
12	0.03667	948.377	483.103	898.774	1135.236	631.996	539.523	0.000	0.000	0.000	1088.037	662.480	13.285	988.530	275.855	644.001	783.762	214.199	478.684	969.124	463.873	503.210
13	0.04000	948.353	483.035	898.784	1135.147	632.066	539.555	0.000	0.000	0.000	1088.077	662.409	13.241	988.701	275.783	643.990	783.996	213.933	478.682	969.127	463.843	503.241
14	0.04333	948.324	482.971	898.784	1135.037	632.130	539.603	0.000	0.000	0.000	1088.088	662.386	13.259	988.866	275.704	643.971	784.243	213.634	478.673	969.099	463.840	503.275
15	0.04667	948.313	482.916	898.793	1134.939	632.206	539.624	0.000	0.000	0.000	1088.122	662.410	13.285	989.052	275.637	643.948	784.531	213.311	478.687	969.060	463.787	503.388
16	0.05000	948.302	482.847	898.814	1134.805	632.267	539.643	0.000	0.000	0.000	1088.142	662.349	13.274	989.263	275.563	643.957	784.833	212.980	478.725	969.058	463.736	503.416
17	0.05333	948.269	482.796	898.805	1134.661	632.345	539.667	0.000	0.000	0.000	1088.167	662.288	13.252	989.473	275.483	643.960	785.156	212.636	478.745	969.058	463.705	503.446
18	0.05667	948.246	482.721	898.818	1134.519	632.448	539.705	0.000	0.000	0.000	1088.216	662.286	13.261	989.707	275.408	643.965	785.478	212.276	478.748	969.050	463.663	503.458
19	0.06000	948.210	482.649	898.814	1134.389	632.528	539.707	0.000	0.000	0.000	1088.236	662.278	13.257	989.916	275.338	643.944	785.783	211.870	478.731	969.043	463.620	503.498
20	0.06333	948.185	482.584	898.814	1134.217	632.595	539.663	0.000	0.000	0.000	1088.250	662.326	13.310	990.130	275.255	643.906	786.148	211.461	478.755	969.038	463.585	503.541
21	0.06667	948.172	482.514	898.823	1134.089	632.718	539.719	0.000	0.000	0.000	1088.282	662.285	13.257	990.346	275.181	643.898	786.543	211.031	478.781	969.049	463.511	503.545
22	0.07000	948.150	482.449	898.844	1133.940	632.824	539.737	0.000	0.000	0.000	1088.297	662.320	13.315	990.593	275.096	643.908	786.896	210.583	478.760	969.037	463.470	503.572
23	0.07333	948.126	482.382	898.848	1133.795	632.945	539.755	0.000	0.000	0.000	1088.312	662.339	13.314	990.838	275.022	643.898	787.316	210.111	478.760	969.006	463.362	503.743
24	0.07667	948.112	482.307	898.885	1133.613	633.064	539.794	0.000	0.000	0.000	1088.335	662.369	13.293	991.094	274.959	643.893	787.761	209.629	478.809	968.989	463.291	503.770
25	0.08000	948.090	482.235	898.909	1133.419	633.130	539.740	0.000	0.000	0.000	1088.326	662.399	13.311	991.371	274.870	643.915	788.251	209.086	478.878	968.992	463.225	503.800
26	0.08333	948.060	482.162	898.902	1133.232	633.253	539.764	0.000	0.000	0.000	1088.341	662.446	13.334	991.712	274.782	644.027	788.738	208.555	478.891	968.975	463.173	503.838
27	0.08667	948.038	482.088	898.925	1133.047	633.360	539.773	0.000	0.000	0.000	1088.355	662.491	13.383	991.945	274.700	643.931	789.223	208.016	478.894	968.971	462.988	504.015
28	0.09000	948.008	481.989	898.951	1132.862	633.465	539.776	0.000	0.000	0.000	1088.324	662.498	13.348	992.247	274.610	643.972	789.752	207.411	478.908	968.967	462.971	503.942
29	0.09333	947.984	481.909	898.978	1132.654	633.591	539.781	0.000	0.000	0.000	1088.339	662.579	13.377	992.925	274.702	644.082	790.250	206.865	478.868	968.985	462.808	504.041
30	0.09667	947.962	481.813	898.998	1132.458	633.747	539.798	0.000	0.000	0.000	1088.310	662.580	13.356	992.982	274.536	643.675	790.722	206.236	478.753	969.006	462.716	504.089
31	0.10000	947.930	481.712	899.004	1132.235	633.868	539.776	0.000	0.000	0.000	1088.298	662.669	13.368	993.307	274.480	643.716	791.313	205.585	478.748	969.005	462.650	504.107
32	0.10333	947.906	481.607	899.022	1132.022	633.999	539.781	0.000	0.000	0.000	1088.273	662.774	13.434	993.821	274.427	644.058	791.832	204.879	478.672	969.003	462.578	504.130
33	0.10667	947.901	481.532	899.054	1131.809	634.101	539.761	0.000	0.000	0.000	1088.223	662.764	13.383	993.978	274.302	643.791	792.408	204.158	478.603	968.963	462.496	504.202
34	0.11000	947.888	481.427	899.089	1131.582	634.226	539.714	0.000	0.000	0.000	1088.208	662.837	13.400	994.310	274.217	643.850	793.010	203.357	478.601	968.992	462.419	504.191
35	0.11333	947.875	481.329	899.109	1131.343	634.366	539.701	0.000	0.000	0.000	1088.159	662.821	13.366	995.063	274.200	644.595	793.607	202.537	478.534	968.982	462.329	504.222
36	0.11667	947.862	481.230	899.140	1131.108	634.500	539.690	0.000	0.000	0.000	1088.104	662.864	13.240	995.399	274.091	644.612	794.215	201.664	478.453	969.000	462.263	504.223
37	0.12000	947.857	481.133	899.164	1130.879	634.658	539.680	0.000	0.000	0.000	1088.056	662.822	13.152	995.766	274.007	644.707	794.800	200.763	478.364	968.982	462.132	504.266
38	0.12333	947.846	481.020	899.203	1130.650	634.817	539.678	0.000	0.000	0.000	1087.993	662.860	13.152	996.106	273.923	644.743	795.450	199.781	478.352	968.998	462.060	504.254
39	0.12667	947.846	480.909	899.229	1130.438	634.975	539.662	0.000	0.000	0.000	1087.938	662.870	13.082	996.467	273.826	644.858	796.083	198.807	478.269	968.983	461.962	504.291
40	0.13000	947.844	480.805	899.268	1130.186	635.146	539.660	0.000	0.000	0.000	1087.846	662.924	13.083	996.747	273.698	644.686	796.746	197.792	478.187	968.993	461.851	504.338
41	0.13333	947.840	480.675	899.300	1129.915	635.300	539.621	0.000	0.000	0.000	1087.750	662.993	13.065	997.058	273.598	644.661	797.384	196.785	478.031	969.003	461.738	504.348
42	0.13667	947.838	480.570	899.321	1129.659	635.486	539.615	0.000	0.000	0.000	1087.649	663.094	13.078	997.383	273.489	644.662	798.124	195.719	477.989	968.982	461.695	504.426
43	0.14000	947.843	480.458	899.374	1129.432	635.645	539.627	0.000	0.000	0.000	1087.520	663.227	13.097	997.762	273.381	644.723	798.897	194.623	477.946	968.982	461.614	504.448
44	0.14333	947.853	480.353	899.416	1129.188	635.799	539.610	0.000	0.000	0.000	1087.386	663.381	13.159	998.152	273.262	644.773	799.632	193.529	477.795	968.967	461.518	504.497
45	0.14667	947.860	480.246	899.453	1128.948	635.961	539.602	0.000	0.000	0.000	1087.261	663.611	13.262	998.563	273.152	644.918	800.453	192.367	477.696	968.970	461.376	504.562
46	0.15000	947.870	480.148	899.492	1128.649	636.187	539.588	0.000	0.000	0.000	1087.107	663.741	13.275	998.982	273.044	645.051	801.269	191.187	477.590	968.996	461.267	504.570
47	0.15333	947.876	480.036	899.512	1128.380	636.346	539.536	0.000	0.000	0.000	1086.937	663.772	13.178	999.325	272.902	644.948	802.096	189.977	477.458	968.965	461.201	504.585
48	0.15667	947.896	479.934	899.554	1128.102	636.488	539.545	0.000	0.000	0.000	1086.763	663.725	13.066	999.718	272.758	645.006	802.948	188.733	477.318	968.957	461.099	504.608
49	0.16000	947.915	479.823	899.595	1127.795	636.659	539.547	0.000	0.000	0.000	1086.594	663.637	12.926	1000.091	272.632	644.980	803.830	187.497	477.237	968.967	461.004	504.635
50	0.16333	947.948	479.715	899.650	1127.507	636.854	539.528	0.000	0.000	0.000	1086.420	663.603	12.818	1000.496	272.492	645.030	804.741	186.207	477.151	969.418	460.433	504.195
51	0.16667	947.968	479.597	899.687	1127.244	637.031	539.517	0.000	0.000	0.000	1086.212	663.735	12.848	1000.870	272.315	644.992	805.614	184.924	476.950	969.405	460.308	504.255
52	0.17000	948.016	479.510	899.745	1126.962	637.182	539.486	0.000	0.000	0.000	1086.019	663.911	12.934	1001.279	272.175	645.032	806.559	183.597	476.825	969.418	460.179	504.264
53	0.17333	948.063	479.413	899.803	1126.656	637.362	539.485	0.000	0.000	0.000	1085.752	664.065	12.898	1001.664	272.008	645.013	807.490	182.291	476.676	969.403	460.099	504.288
54	0.17667	948.102	479.330	899.850	1126.334	637.522	539.451	0.000	0.000	0.000	1085.485	664.231	12.899	1002.061	271.839	644.982	808.449	180.883	476.517	969.388	459.990	504.310
55	0.18000	948.167	479.254	899.907	1126.001	637.661	539.416	0.000	0.000	0.000	1085.283	664.284	12.926	1002.497	271.685	645.022	809.477	179.504	476.431	969.355	459.909	504.335
56	0.18333	948.215	479.160	899.952	1125.706	637.807	539.411	0.000	0.000	0.000	1085.082	664.151	12.796	1003.058	271.578	645.222	810.479	178.130	476.219	969.338	459.797	504.350
57	0.18667	948.263	479.074	899.995	1125.364	637.946	539.417	0.000	0.000	0.000	1084.829	664.092	12.705	1003.295	271.367	644.954	811.512	176.710	476.032	969.313	459.683	504.355
58	0.19000	948.331	478.987	900.040	1125.049	638.109	539.417	0.000	0.000	0.000	1084.543	664.070	12.651	1003.785	271.227	645.031	812.635	175.250	475.904	969.284	459.524	504.392
59	0.19333	948.375	478.911	900.084	1124.709	638.232	539.386	0.000	0.000	0.000	1084.215	664.387	12.960	1004.208	271.035	645.016	813.757	173.798	475.654	969.285	459.430	504.444
60	0.19667	948.429	478.816	900.139	1124.382	638.389	539.360	0.000	0.000	0.000	1083.893	664.557	12.967	1004.592	270.861	644.959	814.916	172.319	475.455	969.272	459.290	504.476
61	0.20000	948.486	478.728	900.192	1124.060	638.569	539.357	0.000	0.000	0.000	1083.632	664.641	12.989	1005.103	270.705	645.074	816.136	170.766	475.331	969.244	459.103	504.466
62	0.20333	948.547	478.647	900.254	1123.705	638.754	539.301	0.000	0.000	0.000	1083.364	664.618	12.944	1005.494	270.517	645.017	817.329	169.236	475.032	969.228	458.956	504.468
63	0.20667	948.585	478.560	900.293	1123.341	638.909	539.295	0.000	0.000	0.000	1083.028	664.544	12.828	1005.921	270.352	645.009	818.612	167.713	474.844	969.209	458.803	504.499
64	0.21000	948.636	478.470	900.333	1123.026	639.031	539.289	0.000	0.000	0.000	1082.668	664.648	12.838	1006.375	270.191	645.014	819.850	166.157	474.483	969.838	457.807	504.067
65	0.21333	948.690	478.377	900.383	1122.695	639.198	539.307	0.000	0.000	0.000	1082.323	664.850	12.895	1006.801	270.013	644.968	821.182	164.548	474.257	969.824	457.664	504.109
66	0.21667	948.743	478.291	900.432	1122.339	639.397	539.350	0.000	0.000	0.000	1082.022	664.894	12.803	1007.208	269.819	644.913	822.478	162.996	473.851	969.857	457.449	504.214
