NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	8
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:32:24	610003.43092004
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	L_Hand	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	L_Hand X	L_Hand Y	L_Hand Z	Sternum X	Sternum Y	Sternum Z	
1	0.00000	1046.427	403.182	917.227	1176.648	592.677	571.388	0.000	0.000	0.000	1095.746	655.468	36.038	1008.904	236.529	633.175	802.260	215.006	461.819	540.928	358.136	511.917	1006.843	436.199	508.133
2	0.00333	1046.416	403.167	917.210	1174.380	593.392	571.696	0.000	0.000	0.000	1095.675	655.533	36.060	1009.080	236.470	633.179	802.392	214.915	461.846	541.266	357.956	512.561	1006.944	436.163	508.148
3	0.00667	1046.411	403.136	917.211	1177.560	595.731	574.100	0.000	0.000	0.000	1095.567	655.483	36.019	1009.286	236.418	633.224	802.536	214.794	461.880	541.624	357.797	513.205	1007.013	436.123	508.169
4	0.01000	1046.388	403.108	917.204	1176.782	593.727	572.258	0.000	0.000	0.000	1095.475	655.578	36.091	1009.464	236.364	633.221	802.673	214.656	461.897	541.988	357.598	513.919	1007.099	436.087	508.196
5	0.01333	1046.370	403.089	917.187	1176.802	593.760	572.248	0.000	0.000	0.000	1095.339	655.508	36.069	1009.650	236.305	633.240	802.817	214.498	461.916	542.414	357.427	514.648	1007.177	436.061	508.239
6	0.01667	1046.365	403.057	917.194	1176.831	593.786	572.231	0.000	0.000	0.000	1095.206	655.515	36.077	1009.919	236.244	633.372	802.993	214.323	461.993	542.834	357.218	515.380	1007.258	436.008	508.247
7	0.02000	1046.356	403.037	917.177	1176.837	593.817	572.212	0.000	0.000	0.000	1095.066	655.557	36.072	1010.043	236.187	633.268	803.167	214.120	462.015	543.347	357.030	516.185	1007.321	435.988	508.261
8	0.02333	1045.875	403.195	916.816	1176.333	593.668	571.727	0.000	0.000	0.000	1094.059	654.147	34.651	1009.797	236.546	632.764	802.877	214.401	461.643	543.397	356.957	516.717	1006.541	436.316	508.032
9	0.02667	1045.925	403.381	916.841	1176.184	593.768	571.454	0.000	0.000	0.000	1094.080	654.568	34.958	1010.043	236.286	633.049	803.031	214.569	461.652	544.031	356.874	517.641	1006.588	436.463	507.796
10	0.03000	1045.909	403.366	916.832	1176.181	593.800	571.389	0.000	0.000	0.000	1093.863	654.594	34.987	1010.251	236.213	633.052	803.202	214.402	461.575	544.791	356.520	518.858	1006.610	436.454	507.809
