NO_OF_SAMPLES	25200
FREQUENCY	120
TIME_STAMP	2022-05-12, 13:37:31	6831.34175375
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	1323.089957
FORCE_PLATE_CORNER_POSX_POSY_Y	1076.650023
FORCE_PLATE_CORNER_POSX_POSY_Z	-186.304003
FORCE_PLATE_CORNER_NEGX_POSY_X	1284.020066
FORCE_PLATE_CORNER_NEGX_POSY_Y	1345.040083
FORCE_PLATE_CORNER_NEGX_POSY_Z	-195.163995
FORCE_PLATE_CORNER_NEGX_NEGY_X	1663.060069
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1387.670040
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-201.503992
FORCE_PLATE_CORNER_POSX_NEGY_X	1698.449969
FORCE_PLATE_CORNER_POSX_NEGY_Y	1124.019980
FORCE_PLATE_CORNER_POSX_NEGY_Z	-190.853000
FORCE_PLATE_LENGTH	600.000000
FORCE_PLATE_WIDTH	400.000000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-9.774864	-8.816004	601.373334	28.835253	47.671893	-1.239728	-79.271711	47.949005	0.000000	
2	0.00833	-10.159795	-9.092917	601.380142	28.905667	47.644168	-1.238635	-79.224711	48.065549	0.000000	
3	0.01667	-9.567285	-9.163857	601.370041	28.816120	47.637385	-1.233372	-79.214762	47.917451	0.000000	
4	0.02500	-9.565920	-9.085416	601.371846	28.956853	47.664165	-1.242995	-79.259056	48.151328	0.000000	
5	0.03333	-9.506547	-9.494289	601.371624	28.989716	47.635184	-1.254489	-79.210895	48.205992	0.000000	
6	0.04167	-8.760733	-9.046243	601.358189	28.838676	47.672578	-1.242613	-79.274846	47.955905	0.000000	
7	0.05000	-8.811756	-9.210102	601.359653	28.872801	47.664545	-1.235001	-79.261296	48.012535	0.000000	
8	0.05833	-8.991037	-9.082058	601.362309	28.960182	47.639659	-1.217148	-79.219563	48.157628	0.000000	
9	0.06667	-8.598497	-9.587812	601.358613	29.002932	47.649026	-1.185801	-79.235626	48.229013	0.000000	
10	0.07500	-8.301623	-9.466684	601.355294	29.040160	47.694722	-1.176977	-79.312051	48.291185	0.000000	
11	0.08333	-8.486560	-9.582606	601.359094	28.985204	47.722942	-1.132985	-79.358477	48.199494	0.000000	
12	0.09167	-8.445446	-9.425441	601.356395	28.944883	47.693594	-1.188098	-79.310030	48.132660	0.000000	
13	0.10000	-8.248537	-9.526173	601.355438	28.984245	47.741445	-1.176783	-79.389728	48.198193	0.000000	
14	0.10833	-8.654509	-9.769283	601.362095	28.995915	47.730467	-1.222283	-79.370595	48.217065	0.000000	
15	0.11667	-8.354582	-9.304128	601.357698	29.087221	47.749478	-1.165995	-79.402788	48.369251	0.000000	
16	0.12500	-8.840238	-9.944072	601.367580	29.114252	47.755537	-1.196024	-79.411559	48.413404	0.000000	
17	0.13333	-9.329154	-9.385884	601.371535	28.974843	47.733207	-1.190562	-79.373905	48.181268	0.000000	
18	0.14167	-8.725048	-9.373178	601.365898	29.097402	47.828869	-1.197256	-79.533723	48.385521	0.000000	
19	0.15000	-8.980535	-9.432610	601.370404	29.178143	47.817508	-1.221915	-79.514236	48.519420	0.000000	
20	0.15833	-8.986214	-9.318856	601.370033	29.213936	47.802058	-1.223715	-79.488593	48.578969	0.000000	
21	0.16667	-9.040030	-9.122567	601.371188	29.254436	47.825002	-1.243538	-79.526593	48.646222	0.000000	
22	0.17500	-9.275430	-9.521212	601.377820	29.284081	47.863737	-1.194424	-79.590127	48.694980	0.000000	
23	0.18333	-9.360087	-8.973809	601.376385	29.202527	47.862452	-1.229892	-79.588180	48.559484	0.000000	
24	0.19167	-9.308126	-9.117024	601.377518	29.289756	47.877809	-1.194485	-79.613566	48.704442	0.000000	
25	0.20000	-9.394351	-9.107259	601.379703	29.275962	47.928671	-1.269664	-79.697853	48.681328	0.000000	
26	0.20833	-9.467632	-8.997708	601.381124	29.242833	47.958780	-1.256404	-79.747730	48.626124	0.000000	
27	0.21667	-9.635270	-8.896230	601.385043	29.389347	47.964684	-1.253583	-79.757029	48.869434	0.000000	
28	0.22500	-9.990265	-8.905670	601.388894	29.206364	47.958343	-1.218174	-79.745975	48.564854	0.000000	
29	0.23333	-10.055741	-8.416764	601.389744	29.288799	47.993438	-1.291649	-79.804218	48.701860	0.000000	
30	0.24167	-10.392773	-9.189135	601.396816	29.313777	47.959375	-1.277080	-79.746639	48.742821	0.000000	
31	0.25000	-10.487434	-8.706598	601.396970	29.328632	47.956100	-1.254707	-79.741173	48.767509	0.000000	
32	0.25833	-10.719100	-8.426271	601.396710	29.161499	47.915576	-1.293460	-79.673825	48.489622	0.000000	
33	0.26667	-11.262011	-8.552257	601.405520	29.241625	47.882520	-1.282843	-79.617692	48.622142	0.000000	
34	0.27500	-11.057582	-8.639570	601.400364	29.214407	47.832283	-1.370750	-79.534842	48.577302	0.000000	
35	0.28333	-11.306215	-9.047546	601.404848	29.077998	47.849936	-1.349898	-79.563603	48.350122	0.000000	
36	0.29167	-11.678110	-8.631819	601.408122	29.087414	47.790647	-1.292279	-79.464586	48.365516	0.000000	
37	0.30000	-11.865879	-8.842953	601.412339	29.082318	47.820351	-1.323508	-79.513418	48.356702	0.000000	
38	0.30833	-11.066934	-9.214871	601.403179	28.942167	47.940452	-1.300327	-79.714330	48.124400	0.000000	
39	0.31667	-11.610207	-9.586477	601.414780	29.004663	47.987536	-1.306165	-79.791082	48.227386	0.000000	
40	0.32500	-11.662338	-9.440974	601.416567	28.985943	48.040635	-1.290339	-79.879135	48.196116	0.000000	
41	0.33333	-11.460892	-9.968370	601.418682	28.976546	48.179035	-1.329598	-80.108977	48.180323	0.000000	
42	0.34167	-11.245228	-10.063707	601.418935	28.968224	48.301252	-1.340686	-80.312157	48.166464	0.000000	
43	0.35000	-11.939830	-10.007951	601.429725	28.999251	48.294747	-1.347987	-80.299900	48.217189	0.000000	
44	0.35833	-11.930148	-9.790693	601.429727	28.930652	48.345016	-1.336386	-80.383483	48.103129	0.000000	
45	0.36667	-12.663929	-9.786259	601.438356	28.891484	48.269245	-1.390358	-80.256346	48.037316	0.000000	
46	0.37500	-12.701364	-9.422390	601.437648	28.864187	48.277974	-1.412776	-80.270955	47.991985	0.000000	
47	0.38333	-12.785268	-8.786443	601.432657	28.714290	48.175079	-1.399345	-80.100537	47.743151	0.000000	
48	0.39167	-12.816088	-9.702111	601.432036	28.774796	48.027573	-1.460082	-79.855362	47.843804	0.000000	
49	0.40000	-12.899394	-9.329529	601.427126	28.586358	47.908377	-1.429828	-79.657825	47.530877	0.000000	
50	0.40833	-12.994524	-8.826868	601.421230	28.409273	47.766544	-1.437295	-79.422776	47.236897	0.000000	
51	0.41667	-12.523153	-9.496845	601.412555	28.348390	47.675998	-1.473223	-79.273367	47.136345	0.000000	
52	0.42500	-11.841428	-9.121537	601.393191	28.096108	47.486202	-1.412073	-78.960325	46.718368	0.000000	
53	0.43333	-11.659862	-9.358546	601.386435	28.084627	47.333239	-1.442426	-78.706863	46.699801	0.000000	
54	0.44167	-11.314318	-9.309315	601.373875	27.873424	47.163667	-1.459221	-78.426531	46.349576	0.000000	
55	0.45000	-11.374777	-9.201962	601.367972	27.742228	46.976347	-1.442720	-78.115812	46.131869	0.000000	
56	0.45833	-10.858125	-9.499502	601.355023	27.547340	46.834976	-1.419145	-77.882406	45.808780	0.000000	
57	0.46667	-10.495208	-9.934909	601.346859	27.432354	46.724030	-1.346202	-77.698968	45.618188	0.000000	
58	0.47500	-9.882779	-9.905862	601.332901	27.314965	46.615111	-1.349037	-77.519642	45.424033	0.000000	
59	0.48333	-9.594996	-10.323612	601.326826	27.193286	46.563985	-1.388148	-77.435402	45.222139	0.000000	
60	0.49167	-9.546352	-10.259002	601.322559	27.120994	46.452279	-1.290855	-77.250185	45.102240	0.000000	
61	0.50000	-9.436508	-10.362122	601.319210	26.991384	46.429342	-1.297069	-77.212471	44.886949	0.000000	
62	0.50833	-8.901156	-10.785121	601.312202	26.949928	46.437738	-1.260065	-77.227333	44.818528	0.000000	
63	0.51667	-8.380322	-11.067854	601.304247	26.890109	46.426692	-1.223465	-77.209985	44.719640	0.000000	
64	0.52500	-8.418892	-10.883252	601.303239	26.754671	46.438794	-1.233734	-77.230240	44.494473	0.000000	
65	0.53333	-8.493561	-11.592687	601.306226	26.896236	46.361870	-1.166645	-77.101930	44.729681	0.000000	
66	0.54167	-7.925066	-11.749301	601.297974	26.912753	46.368664	-1.196986	-77.114286	44.757765	0.000000	
67	0.55000	-8.304742	-11.972465	601.304619	26.984211	46.337947	-1.168564	-77.062349	44.876109	0.000000	
68	0.55833	-8.461178	-12.106893	601.305016	26.984233	46.267895	-1.248765	-76.945799	44.876115	0.000000	
69	0.56667	-8.291374	-11.816805	601.301373	27.055704	46.230400	-1.198035	-76.883910	44.995247	0.000000	
