NO_OF_SAMPLES	25200
FREQUENCY	120
TIME_STAMP	2022-05-12, 13:21:35	5875.51308546
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	1323.089957
FORCE_PLATE_CORNER_POSX_POSY_Y	1076.650023
FORCE_PLATE_CORNER_POSX_POSY_Z	-186.304003
FORCE_PLATE_CORNER_NEGX_POSY_X	1284.020066
FORCE_PLATE_CORNER_NEGX_POSY_Y	1345.040083
FORCE_PLATE_CORNER_NEGX_POSY_Z	-195.163995
FORCE_PLATE_CORNER_NEGX_NEGY_X	1663.060069
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1387.670040
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-201.503992
FORCE_PLATE_CORNER_POSX_NEGY_X	1698.449969
FORCE_PLATE_CORNER_POSX_NEGY_Y	1124.019980
FORCE_PLATE_CORNER_POSX_NEGY_Z	-190.853000
FORCE_PLATE_LENGTH	600.000000
FORCE_PLATE_WIDTH	400.000000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-8.418680	-9.482577	600.990267	12.436631	40.469192	-1.115940	-67.337517	20.693564	0.000000	
2	0.00833	-9.284479	-9.380084	601.002667	12.409403	40.438328	-1.068011	-67.284773	20.647833	0.000000	
3	0.01667	-8.902292	-9.806729	600.999973	12.357262	40.528311	-1.084355	-67.434797	20.561168	0.000000	
4	0.02500	-8.987583	-9.660196	601.000092	12.286857	40.537420	-1.139866	-67.449939	20.444018	0.000000	
5	0.03333	-8.770957	-9.602541	600.999240	12.402117	40.591437	-1.128718	-67.539913	20.635828	0.000000	
6	0.04167	-9.008690	-9.891985	601.004195	12.341802	40.619721	-1.112606	-67.586419	20.535302	0.000000	
7	0.05000	-9.197026	-9.200515	601.005612	12.362970	40.633446	-1.106035	-67.609095	20.570473	0.000000	
8	0.05833	-9.395447	-9.430268	601.008472	12.377956	40.599246	-1.130128	-67.551869	20.595311	0.000000	
9	0.06667	-9.265391	-9.748150	601.007133	12.335614	40.601315	-1.121161	-67.555463	20.524904	0.000000	
10	0.07500	-9.337289	-9.396022	601.008856	12.349048	40.649639	-1.088849	-67.635674	20.547198	0.000000	
11	0.08333	-9.421642	-9.522064	601.009447	12.305030	40.632565	-1.124323	-67.607198	20.473938	0.000000	
12	0.09167	-9.469738	-9.531701	601.012383	12.341820	40.699416	-1.142844	-67.718100	20.535051	0.000000	
13	0.10000	-9.466267	-9.831905	601.011570	12.270432	40.671525	-1.178200	-67.671783	20.416299	0.000000	
14	0.10833	-9.407505	-9.388138	601.011414	12.325108	40.713313	-1.105474	-67.741331	20.507278	0.000000	
15	0.11667	-9.551075	-9.308831	601.013565	12.451501	40.675800	-1.107316	-67.678673	20.717504	0.000000	
16	0.12500	-9.538131	-9.066273	601.012355	12.345908	40.707814	-1.129152	-67.732075	20.541854	0.000000	
17	0.13333	-9.527390	-9.647515	601.015481	12.468420	40.719311	-1.137433	-67.750852	20.745588	0.000000	
18	0.14167	-9.727129	-9.029975	601.016464	12.386752	40.735636	-1.117573	-67.777903	20.609671	0.000000	
19	0.15000	-9.756970	-9.599855	601.019047	12.482623	40.721106	-1.149602	-67.753437	20.769097	0.000000	
20	0.15833	-9.200383	-9.840662	601.010532	12.639678	40.644249	-1.129558	-67.626517	21.030710	0.000000	
21	0.16667	-9.164565	-9.478342	601.006027	12.528033	40.576141	-1.092720	-67.513701	20.845105	0.000000	
22	0.17500	-8.880184	-9.548601	601.000906	12.598738	40.521362	-1.094052	-67.423129	20.962927	0.000000	
23	0.18333	-9.099085	-9.535123	601.005429	12.683832	40.527370	-1.071702	-67.432619	21.104356	0.000000	
24	0.19167	-8.680905	-9.589134	600.997260	12.653259	40.477723	-1.083139	-67.350928	21.053772	0.000000	
25	0.20000	-8.928703	-9.091794	601.000630	12.686507	40.497893	-1.058425	-67.384110	21.108975	0.000000	
26	0.20833	-9.098422	-9.098661	601.001694	12.799733	40.412057	-1.103793	-67.241170	21.297332	0.000000	
27	0.21667	-9.302496	-8.880096	601.002863	12.810422	40.366957	-1.131009	-67.165998	21.315077	0.000000	
