NO_OF_SAMPLES	25200
FREQUENCY	120
TIME_STAMP	2022-05-12, 13:58:44	8103.93695621
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	1323.089957
FORCE_PLATE_CORNER_POSX_POSY_Y	1076.650023
FORCE_PLATE_CORNER_POSX_POSY_Z	-186.304003
FORCE_PLATE_CORNER_NEGX_POSY_X	1284.020066
FORCE_PLATE_CORNER_NEGX_POSY_Y	1345.040083
FORCE_PLATE_CORNER_NEGX_POSY_Z	-195.163995
FORCE_PLATE_CORNER_NEGX_NEGY_X	1663.060069
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1387.670040
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-201.503992
FORCE_PLATE_CORNER_POSX_NEGY_X	1698.449969
FORCE_PLATE_CORNER_POSX_NEGY_Y	1124.019980
FORCE_PLATE_CORNER_POSX_NEGY_Z	-190.853000
FORCE_PLATE_LENGTH	600.000000
FORCE_PLATE_WIDTH	400.000000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-3.151640	-13.779330	600.369060	-14.264320	26.453510	16.643226	-44.062080	-23.759253	0.000000	
2	0.00833	-3.080600	-13.388360	600.369716	-14.348431	26.587413	16.643214	-44.285067	-23.899324	0.000000	
3	0.01667	-3.724221	-13.355807	600.382229	-14.377981	26.685748	16.644211	-44.447931	-23.948046	0.000000	
4	0.02500	-3.877704	-12.873692	600.386557	-14.341106	26.793559	16.645011	-44.627181	-23.886454	0.000000	
5	0.03333	-4.386141	-12.909703	600.397860	-14.252081	26.875841	16.646071	-44.763386	-23.737728	0.000000	
6	0.04167	-4.400116	-12.529158	600.399950	-14.342557	27.014269	16.646171	-44.993789	-23.888338	0.000000	
7	0.05000	-4.596134	-12.432355	600.405734	-14.162225	27.058350	16.647110	-45.066775	-23.587757	0.000000	
8	0.05833	-5.098385	-12.191396	600.415309	-14.083502	27.117377	16.648389	-45.164366	-23.456267	0.000000	
9	0.06667	-5.593956	-12.109165	600.425548	-13.944732	27.165436	16.649686	-45.243638	-23.224747	0.000000	
10	0.07500	-6.217138	-11.277123	600.436933	-13.752679	27.247741	16.652042	-45.379855	-22.904452	0.000000	
11	0.08333	-6.690206	-11.586306	600.448949	-13.536852	27.301141	16.653166	-45.467880	-22.544550	0.000000	
12	0.09167	-7.694858	-11.016842	600.467055	-13.375408	27.390777	16.655818	-45.615787	-22.275007	0.000000	
13	0.10000	-8.640855	-10.887074	600.482253	-13.279587	27.384725	16.657779	-45.604553	-22.114871	0.000000	
14	0.10833	-8.981597	-10.898134	600.493479	-13.025354	27.502955	16.659069	-45.800589	-21.691084	0.000000	
15	0.11667	-9.810640	-10.756630	600.510550	-12.806271	27.586172	16.661204	-45.937864	-21.325638	0.000000	
16	0.12500	-9.815819	-10.108513	600.513700	-12.713206	27.733383	16.662076	-46.182765	-21.170551	0.000000	
17	0.13333	-10.744341	-10.497096	600.533074	-12.517932	27.792466	16.663816	-46.279658	-20.844700	0.000000	
18	0.14167	-11.507618	-10.120227	600.545671	-12.509376	27.852752	16.665444	-46.379074	-20.830016	0.000000	
19	0.15000	-12.105809	-9.471434	600.556173	-12.460865	27.946708	16.667167	-46.534711	-20.748874	0.000000	
20	0.15833	-12.447546	-9.402053	600.566048	-12.378630	28.084560	16.668026	-46.763483	-20.611605	0.000000	
21	0.16667	-12.794054	-9.394845	600.572779	-12.411867	28.142113	16.668501	-46.858789	-20.666717	0.000000	
22	0.17500	-13.110564	-9.514507	600.582754	-12.296337	28.265209	16.669243	-47.062971	-20.474009	0.000000	
23	0.18333	-12.871368	-9.292323	600.581375	-12.317642	28.380248	16.668983	-47.254626	-20.509531	0.000000	
24	0.19167	-13.024219	-9.686188	600.586015	-12.337911	28.422463	16.668808	-47.324550	-20.543120	0.000000	
25	0.20000	-13.042352	-9.263553	600.588537	-12.235505	28.512500	16.669524	-47.474266	-20.372525	0.000000	
26	0.20833	-13.560636	-9.361733	600.597358	-12.245225	28.529162	16.670257	-47.501311	-20.388410	0.000000	
27	0.21667	-13.220047	-9.494512	600.592915	-12.323196	28.572831	16.669340	-47.574372	-20.518384	0.000000	
28	0.22500	-13.267256	-9.421326	600.595660	-12.158333	28.594873	16.669969	-47.610855	-20.243792	0.000000	
29	0.23333	-12.947908	-9.004692	600.590535	-12.201615	28.651543	16.669697	-47.705619	-20.316029	0.000000	
30	0.24167	-13.139756	-9.061549	600.594094	-12.166742	28.652610	16.670063	-47.707112	-20.257845	0.000000	
31	0.25000	-12.976981	-9.247419	600.592985	-12.124269	28.668365	16.669746	-47.733433	-20.187163	0.000000	
32	0.25833	-12.966277	-8.722726	600.590701	-12.240719	28.691610	16.669871	-47.772318	-20.381133	0.000000	
33	0.26667	-12.336830	-9.013340	600.582476	-12.220980	28.710893	16.668621	-47.805079	-20.348545	0.000000	
34	0.27500	-12.040608	-9.150247	600.577414	-12.470345	28.766488	16.667269	-47.898052	-20.763926	0.000000	
35	0.28333	-12.003086	-9.055906	600.577262	-12.547810	28.818660	16.667063	-47.984934	-20.892915	0.000000	
36	0.29167	-11.249997	-8.678298	600.565873	-12.625028	28.901624	16.665938	-48.123986	-21.021887	0.000000	
37	0.30000	-10.919286	-9.092396	600.562287	-12.749686	28.954920	16.664639	-48.213017	-21.229581	0.000000	
38	0.30833	-10.646585	-8.551664	600.556289	-13.024862	29.048131	16.663875	-48.368707	-21.687995	0.000000	
39	0.31667	-10.318121	-8.556905	600.553159	-13.051141	29.127556	16.663246	-48.501213	-21.731866	0.000000	
40	0.32500	-10.317963	-8.740122	600.555031	-13.132535	29.200965	16.662831	-48.623296	-21.867330	0.000000	
41	0.33333	-10.089252	-9.319256	600.555178	-13.160753	29.277970	16.661829	-48.751507	-21.914311	0.000000	
