NO_OF_SAMPLES	25200
FREQUENCY	120
TIME_STAMP	2022-05-12, 13:30:29	6409.49437768
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	1323.089957
FORCE_PLATE_CORNER_POSX_POSY_Y	1076.650023
FORCE_PLATE_CORNER_POSX_POSY_Z	-186.304003
FORCE_PLATE_CORNER_NEGX_POSY_X	1284.020066
FORCE_PLATE_CORNER_NEGX_POSY_Y	1345.040083
FORCE_PLATE_CORNER_NEGX_POSY_Z	-195.163995
FORCE_PLATE_CORNER_NEGX_NEGY_X	1663.060069
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1387.670040
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-201.503992
FORCE_PLATE_CORNER_POSX_NEGY_X	1698.449969
FORCE_PLATE_CORNER_POSX_NEGY_Y	1124.019980
FORCE_PLATE_CORNER_POSX_NEGY_Z	-190.853000
FORCE_PLATE_LENGTH	600.000000
FORCE_PLATE_WIDTH	400.000000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-9.774395	-12.336706	600.330811	-26.139611	29.391747	-0.965698	-48.959250	-43.542012	0.000000	
2	0.00833	-10.196904	-12.398358	600.336269	-26.163836	29.351251	-0.961085	-48.891351	-43.581968	0.000000	
3	0.01667	-10.063522	-12.511472	600.335974	-26.034935	29.363402	-0.987306	-48.911615	-43.367275	0.000000	
4	0.02500	-10.007642	-12.245610	600.334628	-26.018659	29.365101	-0.960830	-48.914555	-43.340261	0.000000	
5	0.03333	-9.825133	-12.100497	600.330498	-26.092578	29.359973	-0.952118	-48.906349	-43.463689	0.000000	
6	0.04167	-9.605666	-12.390161	600.328466	-26.063039	29.362888	-0.930429	-48.911370	-43.414631	0.000000	
7	0.05000	-10.235101	-12.762022	600.336437	-26.076461	29.269359	-0.975749	-48.754927	-43.436412	0.000000	
8	0.05833	-9.593569	-12.212948	600.327687	-25.958822	29.341763	-1.004253	-48.876245	-43.241088	0.000000	
9	0.06667	-10.143691	-12.583165	600.336153	-26.021316	29.305134	-0.949806	-48.814542	-43.344575	0.000000	
10	0.07500	-9.884094	-12.286801	600.333238	-25.928460	29.341657	-0.925940	-48.875617	-43.190112	0.000000	
11	0.08333	-9.630936	-12.044356	600.328304	-26.041280	29.382431	-0.970427	-48.943938	-43.378398	0.000000	
12	0.09167	-9.982848	-12.132039	600.333470	-25.982650	29.343241	-0.983900	-48.878236	-43.280363	0.000000	
13	0.10000	-9.707986	-12.372049	600.329589	-25.944708	29.309760	-0.940503	-48.822782	-43.217440	0.000000	
14	0.10833	-10.001521	-12.518875	600.334651	-25.942156	29.309332	-0.943180	-48.821656	-43.212824	0.000000	
15	0.11667	-9.921357	-12.597704	600.333334	-25.929781	29.301211	-0.975685	-48.808235	-43.192305	0.000000	
16	0.12500	-9.757920	-12.281867	600.333365	-25.749554	29.363225	-0.964526	-48.911533	-42.892092	0.000000	
17	0.13333	-9.760430	-12.039849	600.332604	-25.738649	29.356149	-0.955170	-48.899808	-42.873982	0.000000	
18	0.14167	-9.561545	-12.153474	600.330166	-25.770189	29.374105	-0.935485	-48.929917	-42.926694	0.000000	
19	0.15000	-9.646143	-12.310659	600.331609	-25.754955	29.363775	-0.973847	-48.912591	-42.901214	0.000000	
20	0.15833	-9.829333	-11.869905	600.332594	-25.751607	29.341495	-0.957462	-48.875399	-42.895567	0.000000	
21	0.16667	-9.869992	-12.195739	600.336075	-25.650192	29.366073	-0.935168	-48.916057	-42.726388	0.000000	
22	0.17500	-9.689210	-12.014815	600.333913	-25.652502	29.405864	-0.913582	-48.982514	-42.730389	0.000000	
23	0.18333	-9.546177	-12.057268	600.331460	-25.611612	29.385150	-0.938494	-48.948209	-42.662452	0.000000	
24	0.19167	-9.604274	-11.784832	600.332344	-25.635833	29.421035	-0.931650	-49.007912	-42.702735	0.000000	
25	0.20000	-9.717797	-12.638517	600.337756	-25.535917	29.433029	-0.992089	-49.027449	-42.535918	0.000000	
26	0.20833	-10.171207	-11.702031	600.340838	-25.551354	29.397709	-0.980411	-48.968365	-42.561413	0.000000	
27	0.21667	-10.133726	-12.241690	600.344620	-25.417527	29.440939	-0.956836	-49.040065	-42.338227	0.000000	
28	0.22500	-9.965211	-11.794829	600.340245	-25.390885	29.422963	-0.969251	-49.010480	-42.294157	0.000000	
29	0.23333	-10.229801	-12.164389	600.346899	-25.381631	29.464668	-0.958523	-49.079404	-42.278275	0.000000	
30	0.24167	-9.709390	-11.948026	600.337945	-25.336250	29.448016	-0.971677	-49.052398	-42.203312	0.000000	
31	0.25000	-10.314005	-11.840638	600.347881	-25.304240	29.458980	-0.943709	-49.069850	-42.149294	0.000000	
32	0.25833	-9.853614	-11.986265	600.340434	-25.373916	29.468654	-0.990787	-49.086572	-42.265878	0.000000	
33	0.26667	-9.775913	-12.046668	600.340379	-25.241666	29.453944	-0.972897	-49.062075	-42.045590	0.000000	
34	0.27500	-9.905375	-11.939677	600.340573	-25.274519	29.412135	-0.971162	-48.992417	-42.100301	0.000000	
35	0.28333	-9.440747	-11.726278	600.333246	-25.262970	29.420299	-0.923696	-49.006613	-42.081578	0.000000	
36	0.29167	-9.713359	-11.674807	600.336986	-25.244442	29.399376	-0.916574	-48.971455	-42.050453	0.000000	
37	0.30000	-9.501839	-11.565324	600.334123	-25.220387	29.422858	-0.933931	-49.010803	-42.010585	0.000000	
38	0.30833	-9.398023	-11.928680	600.333730	-25.166785	29.406741	-0.928722	-48.983989	-41.921324	0.000000	
39	0.31667	-9.679763	-11.742451	600.338925	-25.017964	29.408468	-0.950891	-48.986442	-41.673066	0.000000	
40	0.32500	-8.856245	-11.746401	600.327433	-24.993033	29.443323	-0.921864	-49.045439	-41.632335	0.000000	
41	0.33333	-9.176549	-11.559832	600.330102	-24.947530	29.359303	-0.891213	-48.905265	-41.556353	0.000000	
42	0.34167	-9.494868	-11.408895	600.332659	-24.987463	29.306894	-0.904304	-48.817756	-41.622694	0.000000	
43	0.35000	-9.129375	-11.657365	600.329389	-24.812700	29.304324	-0.895023	-48.813742	-41.331810	0.000000	
44	0.35833	-9.137223	-11.737537	600.328048	-24.888476	29.275458	-0.921073	-48.765767	-41.458126	0.000000	
45	0.36667	-9.304424	-12.180451	600.334286	-24.843465	29.340173	-0.930681	-48.873060	-41.382719	0.000000	
46	0.37500	-8.962430	-12.090618	600.328159	-24.726026	29.277380	-0.903022	-48.768960	-41.187516	0.000000	
47	0.38333	-9.004647	-11.817771	600.328855	-24.664876	29.279491	-0.863613	-48.772420	-41.085607	0.000000	
48	0.39167	-9.560785	-11.960254	600.337802	-24.546872	29.247119	-0.937766	-48.717770	-40.888433	0.000000	
49	0.40000	-9.010308	-11.838361	600.331313	-24.498011	29.319142	-0.937917	-48.838268	-40.807484	0.000000	
50	0.40833	-8.708537	-11.986466	600.328287	-24.381958	29.320610	-0.926083	-48.840960	-40.614374	0.000000	
51	0.41667	-9.375573	-11.845880	600.337350	-24.413797	29.295758	-0.915850	-48.798827	-40.666796	0.000000	
52	0.42500	-9.026003	-11.584293	600.331906	-24.321021	29.294766	-0.917932	-48.797617	-40.512625	0.000000	
53	0.43333	-8.826209	-11.668231	600.331688	-24.206188	29.349497	-0.922048	-48.888801	-40.321356	0.000000	
54	0.44167	-8.561499	-11.215109	600.326253	-24.213148	29.364265	-0.957455	-48.913845	-40.333315	0.000000	
55	0.45000	-8.899806	-11.560536	600.334418	-24.024482	29.353180	-0.914724	-48.894714	-40.018498	0.000000	
56	0.45833	-8.541782	-11.329483	600.329342	-23.936855	29.369401	-0.922928	-48.922148	-39.872871	0.000000	
57	0.46667	-8.370642	-11.511032	600.328874	-23.835018	29.392421	-0.923081	-48.960531	-39.703267	0.000000	
58	0.47500	-8.305428	-11.059727	600.326304	-23.949366	29.425939	-0.918561	-49.016574	-39.893914	0.000000	
59	0.48333	-8.479724	-11.118754	600.332133	-23.715669	29.459885	-0.973224	-49.072644	-39.504247	0.000000	
60	0.49167	-8.635904	-11.436890	600.337603	-23.650630	29.498671	-0.926083	-49.136804	-39.395550	0.000000	
61	0.50000	-8.437922	-11.327414	600.335837	-23.578955	29.534682	-0.932669	-49.196932	-39.276275	0.000000	
62	0.50833	-8.400529	-11.637078	600.340593	-23.452469	29.637597	-0.898294	-49.367971	-39.065273	0.000000	
63	0.51667	-8.809817	-11.250912	600.344639	-23.499456	29.622264	-0.942368	-49.342097	-39.143276	0.000000	
64	0.52500	-8.559421	-11.222075	600.345176	-23.413347	29.750071	-0.929878	-49.554943	-38.999809	0.000000	
65	0.53333	-8.782887	-10.806933	600.349677	-23.310943	29.783717	-0.872237	-49.610616	-38.828943	0.000000	
66	0.54167	-9.333671	-10.768014	600.357484	-23.337729	29.786248	-0.958784	-49.614186	-38.873055	0.000000	
67	0.55000	-10.108680	-10.776124	600.371130	-23.178526	29.784773	-0.965130	-49.610601	-38.606996	0.000000	
68	0.55833	-9.897839	-10.849022	600.370543	-23.134107	29.848546	-0.924997	-49.716873	-38.533049	0.000000	
69	0.56667	-9.446683	-10.624076	600.367006	-23.057651	29.978941	-0.960686	-49.934358	-38.405926	0.000000	
70	0.57500	-9.614482	-10.768012	600.371134	-22.979380	29.985082	-0.942629	-49.944243	-38.275291	0.000000	
71	0.58333	-9.952999	-10.973213	600.377898	-22.930060	29.998523	-0.951212	-49.966068	-38.192711	0.000000	
72	0.59167	-10.340803	-10.845074	600.384127	-22.908713	30.013338	-0.964540	-49.990226	-38.156760	0.000000	
73	0.60000	-10.149225	-10.826423	600.383637	-22.834190	30.070790	-0.929255	-50.085959	-38.032665	0.000000	
74	0.60833	-10.176741	-10.701730	600.382400	-22.900661	30.065282	-1.008112	-50.076888	-38.143459	0.000000	
75	0.61667	-10.158880	-10.599575	600.383251	-22.783537	30.068200	-0.969807	-50.081677	-37.948321	0.000000	
76	0.62500	-10.237946	-10.861448	600.385400	-22.795185	30.081651	-1.000271	-50.103901	-37.967587	0.000000	
77	0.63333	-10.168420	-11.043345	600.386694	-22.750805	30.123109	-0.967078	-50.172845	-37.893587	0.000000	
78	0.64167	-10.349761	-10.845075	600.388670	-22.734352	30.109534	-0.970083	-50.150070	-37.866058	0.000000	
79	0.65000	-10.450160	-10.723349	600.389376	-22.825259	30.124451	-0.974621	-50.174856	-38.017427	0.000000	
80	0.65833	-10.340968	-10.991552	600.389583	-22.660343	30.111951	-1.002859	-50.154020	-37.742732	0.000000	
81	0.66667	-10.318740	-10.179817	600.386911	-22.716627	30.130761	-0.963404	-50.185573	-37.836645	0.000000	
82	0.67500	-10.516080	-10.881468	600.390581	-22.690767	30.075496	-1.014177	-50.093217	-37.793343	0.000000	
83	0.68333	-10.377712	-10.309271	600.386561	-22.732340	30.077139	-0.963469	-50.096290	-37.862839	0.000000	
84	0.69167	-10.611540	-10.819090	600.391042	-22.807431	30.072606	-0.951650	-50.088366	-37.987626	0.000000	
85	0.70000	-10.554614	-11.118308	600.390317	-22.807473	30.051587	-0.980315	-50.053417	-37.987742	0.000000	
86	0.70833	-9.805347	-10.920637	600.380404	-22.754743	30.109800	-0.932710	-50.151204	-37.900542	0.000000	
87	0.71667	-10.352275	-10.909399	600.387620	-22.755113	30.056298	-0.898952	-50.061488	-37.900703	0.000000	
88	0.72500	-10.094672	-10.917408	600.383206	-22.854771	30.082715	-0.929491	-50.105857	-38.066973	0.000000	
89	0.73333	-10.182625	-10.484445	600.382507	-22.921954	30.088030	-0.965522	-50.114768	-38.178916	0.000000	
90	0.74167	-9.916425	-10.939990	600.382531	-22.743991	30.114367	-0.917860	-50.158633	-37.882499	0.000000	
91	0.75000	-10.315136	-10.942844	600.388326	-22.855229	30.136828	-0.922082	-50.195559	-38.067411	0.000000	
92	0.75833	-10.616679	-11.213950	600.393307	-22.858894	30.122647	-0.948626	-50.171524	-38.073199	0.000000	
93	0.76667	-10.580307	-10.770114	600.391541	-22.852941	30.136037	-0.988679	-50.193974	-38.063396	0.000000	
94	0.77500	-10.442836	-10.559971	600.391026	-22.818470	30.206287	-0.994679	-50.311023	-38.006014	0.000000	
