NO_OF_SAMPLES	25200
FREQUENCY	120
TIME_STAMP	2022-05-12, 13:45:48	7327.78225353
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	1323.089957
FORCE_PLATE_CORNER_POSX_POSY_Y	1076.650023
FORCE_PLATE_CORNER_POSX_POSY_Z	-186.304003
FORCE_PLATE_CORNER_NEGX_POSY_X	1284.020066
FORCE_PLATE_CORNER_NEGX_POSY_Y	1345.040083
FORCE_PLATE_CORNER_NEGX_POSY_Z	-195.163995
FORCE_PLATE_CORNER_NEGX_NEGY_X	1663.060069
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1387.670040
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-201.503992
FORCE_PLATE_CORNER_POSX_NEGY_X	1698.449969
FORCE_PLATE_CORNER_POSX_NEGY_Y	1124.019980
FORCE_PLATE_CORNER_POSX_NEGY_Z	-190.853000
FORCE_PLATE_LENGTH	600.000000
FORCE_PLATE_WIDTH	400.000000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-8.968469	-12.162332	601.147873	0.372215	49.536572	-1.218329	-82.403306	0.619174	0.000000	
2	0.00833	-9.831987	-11.855418	601.164595	0.441306	49.675293	-1.298282	-82.631768	0.734085	0.000000	
3	0.01667	-10.379567	-11.975494	601.179664	0.579007	49.846748	-1.318321	-82.914894	0.963119	0.000000	
4	0.02500	-10.838169	-11.619019	601.190298	0.662763	49.983334	-1.342262	-83.140620	1.102419	0.000000	
5	0.03333	-11.396785	-11.349301	601.201892	0.659772	50.130013	-1.420439	-83.382993	1.097422	0.000000	
6	0.04167	-11.810079	-11.597271	601.213623	0.678492	50.278563	-1.411354	-83.628448	1.128538	0.000000	
7	0.05000	-11.682646	-11.682527	601.217016	0.791738	50.428464	-1.452754	-83.877307	1.316892	0.000000	
8	0.05833	-11.723017	-10.853116	601.222064	1.010447	50.616458	-1.529607	-84.189289	1.680655	0.000000	
9	0.06667	-12.113245	-10.534901	601.230929	1.060695	50.735809	-1.553793	-84.386559	1.764206	0.000000	
10	0.07500	-12.407246	-10.152571	601.238664	1.068728	50.891204	-1.583765	-84.643931	1.777543	0.000000	
11	0.08333	-12.545648	-9.922212	601.245292	1.274241	51.005448	-1.595864	-84.833011	2.119336	0.000000	
12	0.09167	-12.985095	-9.434991	601.251960	1.316361	51.044788	-1.632969	-84.897500	2.189366	0.000000	
13	0.10000	-13.266008	-9.600482	601.260433	1.492436	51.118572	-1.677116	-85.019019	2.482179	0.000000	
14	0.10833	-12.807301	-9.680741	601.257392	1.633746	51.221517	-1.744739	-85.190665	2.717215	0.000000	
15	0.11667	-12.999768	-9.410183	601.259576	1.640131	51.207269	-1.685035	-85.166659	2.727825	0.000000	
16	0.12500	-12.696841	-9.634512	601.257564	1.766516	51.245416	-1.731858	-85.230390	2.938035	0.000000	
17	0.13333	-12.877556	-9.701424	601.262607	1.943073	51.260641	-1.756874	-85.254996	3.231654	0.000000	
18	0.14167	-12.506692	-9.403812	601.256567	1.976398	51.275884	-1.764692	-85.281204	3.287112	0.000000	
19	0.15000	-12.825932	-9.402536	601.260023	1.872395	51.266741	-1.810449	-85.265507	3.114119	0.000000	
20	0.15833	-12.566275	-9.550630	601.256724	1.949930	51.242205	-1.768342	-85.225168	3.243090	0.000000	
21	0.16667	-12.999461	-9.530912	601.264839	1.953586	51.279322	-1.720106	-85.285748	3.249128	0.000000	
22	0.17500	-12.708501	-9.965004	601.262536	1.992451	51.298621	-1.725422	-85.318174	3.313779	0.000000	
23	0.18333	-12.875385	-9.752852	601.263449	1.962544	51.270943	-1.718468	-85.272011	3.264034	0.000000	
24	0.19167	-12.861826	-10.377603	601.264591	1.973126	51.245929	-1.718026	-85.230245	3.281627	0.000000	
25	0.20000	-12.836130	-10.346363	601.262379	1.975456	51.179338	-1.690742	-85.119808	3.285515	0.000000	
26	0.20833	-13.291846	-10.346641	601.269615	1.995101	51.173331	-1.679322	-85.108792	3.318147	0.000000	
27	0.21667	-12.483674	-10.169779	601.256801	1.906109	51.211848	-1.648923	-85.174668	3.170207	0.000000	
28	0.22500	-12.656282	-10.450120	601.256507	1.834941	51.089510	-1.599581	-84.971238	3.051844	0.000000	
29	0.23333	-12.371797	-11.151387	601.254277	1.839926	51.080463	-1.560263	-84.956506	3.060146	0.000000	
30	0.24167	-12.427043	-11.159667	601.256511	1.932764	51.082163	-1.495231	-84.959018	3.214542	0.000000	
31	0.25000	-12.863487	-10.891177	601.258728	1.818224	50.982048	-1.464782	-84.792196	3.024030	0.000000	
32	0.25833	-12.200009	-11.167203	601.247984	1.741264	50.961812	-1.445135	-84.760054	2.896082	0.000000	
33	0.26667	-12.320016	-11.144326	601.248377	1.742460	50.914061	-1.456530	-84.680579	2.898070	0.000000	
34	0.27500	-11.724071	-11.389321	601.238351	1.693777	50.861313	-1.368949	-84.594259	2.817148	0.000000	
35	0.28333	-11.703128	-11.659026	601.235303	1.677193	50.743048	-1.374833	-84.397985	2.789578	0.000000	
36	0.29167	-11.552509	-11.168495	601.228920	1.710035	50.639038	-1.347237	-84.225885	2.844233	0.000000	
37	0.30000	-11.163055	-11.058936	601.218105	1.549330	50.534005	-1.315400	-84.052701	2.576986	0.000000	
38	0.30833	-10.733010	-11.123800	601.208854	1.558646	50.417127	-1.227204	-83.859589	2.592521	0.000000	
39	0.31667	-10.526061	-11.395596	601.202762	1.561469	50.295806	-1.272244	-83.658641	2.597241	0.000000	
40	0.32500	-10.085018	-11.322035	601.193763	1.632226	50.204354	-1.261067	-83.507776	2.714975	0.000000	
41	0.33333	-9.828306	-11.842970	601.186156	1.398890	50.088164	-1.201006	-83.315565	2.326883	0.000000	
42	0.34167	-10.026124	-11.699912	601.187224	1.476292	50.011988	-1.228610	-83.188707	2.455628	0.000000	
43	0.35000	-9.283873	-11.459230	601.173510	1.378539	49.992882	-1.199075	-83.158825	2.293080	0.000000	
44	0.35833	-9.457479	-11.889975	601.176743	1.339290	49.980454	-1.216986	-83.137704	2.227781	0.000000	
45	0.36667	-9.695412	-11.732703	601.177206	1.369697	49.865137	-1.180981	-82.945821	2.278359	0.000000	
46	0.37500	-9.722243	-11.498000	601.173765	1.231762	49.817844	-1.253376	-82.867629	2.048928	0.000000	
47	0.38333	-9.707020	-11.198605	601.172571	1.277103	49.798575	-1.237830	-82.835741	2.124354	0.000000	
48	0.39167	-8.912020	-11.816377	601.161915	1.276735	49.797223	-1.252347	-82.834960	2.123779	0.000000	
49	0.40000	-9.646964	-11.528599	601.169611	1.197702	49.722769	-1.258169	-82.710050	1.992286	0.000000	
50	0.40833	-9.218359	-11.434435	601.162802	1.095496	49.760202	-1.235848	-82.773255	1.822294	0.000000	
51	0.41667	-9.450860	-12.032034	601.168950	1.265361	49.737654	-1.299688	-82.734902	2.104834	0.000000	
52	0.42500	-8.861459	-11.297171	601.159136	1.280049	49.788165	-1.273665	-82.820274	2.129302	0.000000	
53	0.43333	-9.288431	-11.914484	601.166767	1.274618	49.762952	-1.312453	-82.777283	2.120240	0.000000	
54	0.44167	-9.057315	-11.588891	601.164049	1.377917	49.795892	-1.314758	-82.832452	2.292082	0.000000	
55	0.45000	-9.029107	-11.860855	601.165659	1.380883	49.839637	-1.327683	-82.904998	2.297010	0.000000	
56	0.45833	-9.170608	-11.905318	601.169599	1.380930	49.883977	-1.274945	-82.978210	2.297073	0.000000	
57	0.46667	-9.523368	-11.788504	601.176030	1.348053	49.940982	-1.281430	-83.072145	2.242360	0.000000	
58	0.47500	-10.101820	-11.365313	601.183222	1.336777	49.928138	-1.293759	-83.049785	2.223576	0.000000	
59	0.48333	-10.075348	-11.687511	601.185325	1.403059	49.970142	-1.349490	-83.119365	2.333821	0.000000	
60	0.49167	-10.164213	-11.215615	601.185895	1.332248	50.003883	-1.285452	-83.175409	2.216033	0.000000	
61	0.50000	-9.924385	-11.352159	601.183340	1.310045	50.047688	-1.327980	-83.248627	2.179111	0.000000	
62	0.50833	-10.011282	-11.946363	601.189010	1.380639	50.102898	-1.297867	-83.339676	2.296514	0.000000	
63	0.51667	-10.337274	-11.150395	601.190538	1.377147	50.079134	-1.359760	-83.299937	2.290699	0.000000	
64	0.52500	-10.296905	-11.104091	601.190210	1.335713	50.103342	-1.332623	-83.340249	2.221782	0.000000	
65	0.53333	-10.304412	-11.280496	601.190881	1.325524	50.109685	-1.346447	-83.350708	2.204831	0.000000	
66	0.54167	-10.095298	-11.538996	601.188417	1.241204	50.136713	-1.337681	-83.396006	2.064585	0.000000	
67	0.55000	-10.659435	-11.320528	601.196384	1.234969	50.123494	-1.297154	-83.372913	2.054186	0.000000	
68	0.55833	-11.075473	-11.373664	601.202723	1.234374	50.115022	-1.314710	-83.357942	2.053175	0.000000	
69	0.56667	-10.921256	-11.245003	601.197389	1.010842	50.094665	-1.274573	-83.324821	1.681381	0.000000	
70	0.57500	-11.137528	-11.207801	601.200209	1.102276	50.055723	-1.313322	-83.259657	1.833460	0.000000	
71	0.58333	-11.346666	-11.581031	601.205559	1.163936	50.061131	-1.289394	-83.267911	1.936003	0.000000	
72	0.59167	-11.141352	-11.618319	601.201022	1.142619	50.027654	-1.334797	-83.212855	1.900560	0.000000	
73	0.60000	-10.895750	-11.107345	601.193839	1.059935	49.994490	-1.330926	-83.158686	1.763050	0.000000	
74	0.60833	-11.399833	-11.210281	601.197906	0.921395	49.893712	-1.321496	-82.990495	1.532598	0.000000	
75	0.61667	-11.412071	-11.590652	601.198453	1.002700	49.840143	-1.338764	-82.901317	1.667835	0.000000	
76	0.62500	-10.837893	-11.459759	601.190511	1.038933	49.878708	-1.334938	-82.966559	1.728125	0.000000	
77	0.63333	-11.233796	-11.072524	601.192542	0.953076	49.804339	-1.336195	-82.842577	1.585309	0.000000	
78	0.64167	-11.097709	-11.452973	601.190435	0.943344	49.766922	-1.337303	-82.780628	1.569126	0.000000	
