NO_OF_SAMPLES	25200
FREQUENCY	120
TIME_STAMP	2022-05-12, 13:52:41	7741.62343814
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	1323.089957
FORCE_PLATE_CORNER_POSX_POSY_Y	1076.650023
FORCE_PLATE_CORNER_POSX_POSY_Z	-186.304003
FORCE_PLATE_CORNER_NEGX_POSY_X	1284.020066
FORCE_PLATE_CORNER_NEGX_POSY_Y	1345.040083
FORCE_PLATE_CORNER_NEGX_POSY_Z	-195.163995
FORCE_PLATE_CORNER_NEGX_NEGY_X	1663.060069
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1387.670040
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-201.503992
FORCE_PLATE_CORNER_POSX_NEGY_X	1698.449969
FORCE_PLATE_CORNER_POSX_NEGY_Y	1124.019980
FORCE_PLATE_CORNER_POSX_NEGY_Z	-190.853000
FORCE_PLATE_LENGTH	600.000000
FORCE_PLATE_WIDTH	400.000000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-10.461391	-9.905575	601.067345	-12.368846	46.709031	16.662943	-77.710146	-20.578137	0.000000	
2	0.00833	-10.152053	-10.092349	601.059671	-12.577093	46.660663	16.661651	-77.630667	-20.924866	0.000000	
3	0.01667	-10.088724	-9.783079	601.057338	-12.601409	46.656023	16.661762	-77.623249	-20.965402	0.000000	
4	0.02500	-10.372597	-9.890296	601.061140	-12.620524	46.627843	16.662077	-77.575874	-20.997071	0.000000	
5	0.03333	-9.666252	-9.831551	601.049305	-12.689674	46.631581	16.660764	-77.583620	-21.112535	0.000000	
6	0.04167	-10.129743	-10.057141	601.054019	-12.782261	46.548584	16.661052	-77.444927	-21.266410	0.000000	
7	0.05000	-10.281008	-9.660580	601.053875	-12.780797	46.503399	16.661677	-77.369768	-21.263978	0.000000	
8	0.05833	-10.153321	-9.781205	601.051358	-12.818754	46.485082	16.661244	-77.339618	-21.327218	0.000000	
9	0.06667	-10.109437	-9.573512	601.047844	-12.927353	46.445907	16.661048	-77.274891	-21.508026	0.000000	
10	0.07500	-9.921362	-9.870133	601.046052	-12.794548	46.408577	16.660856	-77.213014	-21.287134	0.000000	
11	0.08333	-10.190231	-10.261426	600.996804	-12.653437	46.318463	7.766522	-77.069399	-21.054084	0.000000	
